house_id,price_act,price_first,advertiser,type,nbhood,street,st_number,sq_m,bedrooms,bathrooms,const_year,floor,lift,balcony,air_con,ft_wardrobes,terrace,exterior,heating
95615198,235000.0,235000.0,,flat / apartment ,zona laguna,calle goya,13.0,93.0,3.0,1.0,1975.0,1.0,1,0,0,1,0,1,no
94341891,223000.0,223000.0,Professional advertiser,duplex ,playa stª mª del mar,unknown,,60.0,2.0,1.0,1978.0,0.0,0,0,1,0,0,1,individual
95580469,168000.0,168000.0,Professional advertiser,flat / apartment ,ayuntamiento - catedral,unknown,,100.0,3.0,1.0,,1.0,0,1,0,0,0,1,no
95510816,196000.0,196000.0,Professional advertiser,flat / apartment ,la paz - segunda aguada - loreto,unknown,,117.0,4.0,1.0,1954.0,0.0,0,0,0,0,0,1,no
95456781,210000.0,210000.0,Professional advertiser,flat / apartment ,ayuntamiento - catedral,unknown,,81.0,2.0,1.0,2008.0,2.0,1,1,0,1,0,1,no
95317572,240000.0,240000.0,Professional advertiser,flat / apartment ,zona san jose - varela,unknown,,95.0,3.0,1.0,1975.0,3.0,1,0,1,1,0,0,no
95049325,226600.0,226600.0,Professional advertiser,flat / apartment ,centro historico - plaza espana,unknown,,88.0,3.0,2.0,1888.0,0.0,0,0,1,1,0,1,no
95102052,149000.0,149000.0,Professional advertiser,flat / apartment ,centro historico - plaza espana,unknown,,65.0,2.0,1.0,,0.0,0,0,0,0,0,1,no
95051013,138000.0,138000.0,Professional advertiser,flat / apartment ,la paz - segunda aguada - loreto,unknown,,75.0,3.0,1.0,,3.0,1,0,0,0,0,1,no
94966032,170000.0,170000.0,Professional advertiser,flat / apartment ,la caleta - la vina,unknown,,102.0,2.0,2.0,,0.0,1,0,0,1,0,0,no
82755169,350000.0,350000.0,Professional advertiser,flat / apartment ,mentidero - teatro falla - alameda,unknown,,110.0,3.0,1.0,,,0,0,0,0,1,0,no
94744160,260000.0,260000.0,Professional advertiser,flat / apartment ,zona san jose - varela,calle garcia carrera,,127.0,4.0,2.0,1968.0,,1,0,0,0,0,0,individual
94640099,180000.0,180000.0,Professional advertiser,flat / apartment ,la caleta - la vina,calle san jose,,117.0,4.0,2.0,1995.0,2.0,0,1,0,1,0,1,no
94611700,235000.0,250000.0,Professional advertiser,flat / apartment ,zona bahia blanca,unknown,,90.0,3.0,1.0,,3.0,1,0,1,0,0,1,no
94619504,512000.0,512000.0,Professional advertiser,flat / apartment ,playa victoria,unknown,,164.0,4.0,2.0,1990.0,2.0,1,1,0,1,0,1,no
94443663,123000.0,123000.0,Professional advertiser,flat / apartment ,centro historico - plaza espana,unknown,,57.0,1.0,1.0,2007.0,0.0,0,0,0,0,0,1,no
94386694,330000.0,330000.0,Professional advertiser,flat / apartment ,la caleta - la vina,unknown,,156.0,7.0,3.0,1968.0,1.0,1,1,0,1,1,1,no
88673185,330000.0,330000.0,Professional advertiser,flat / apartment ,la caleta - la vina,unknown,,169.0,7.0,3.0,1968.0,1.0,1,0,0,1,1,1,no
94161957,230000.0,230000.0,Professional advertiser,flat / apartment ,playa victoria,unknown,,86.0,3.0,1.0,1969.0,3.0,1,0,0,1,0,1,no
93757203,200000.0,200000.0,Professional advertiser,flat / apartment ,mentidero - teatro falla - alameda,unknown,,200.0,7.0,2.0,1983.0,0.0,0,0,1,0,0,1,no
40043701,720000.0,720000.0,Professional advertiser,flat / apartment ,playa stª mª del mar,unknown,,170.0,3.0,2.0,1961.0,2.0,1,0,0,1,1,1,no
