house_id,tittle,city,price_act,price_first,details_1_desc,details_2_desc,details_3_desc,advertiser
96652349,Flat / apartment for sale in Playa Victoria,Cadiz,"674,000","674,000","['155 m² built, 150 m² floor area', '5 bedrooms', '3 bathrooms', 'Terrace', 'Second hand/good condition', 'No heating', '7th floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
96652309,Flat / apartment for sale in La Caleta - La Viña,Cadiz,"245,000","245,000","['87 m² built, 80 m² floor area', '3 bedrooms', '2 bathrooms', 'Second hand/good condition', 'No heating', '2nd floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
86322312,Penthouse for sale in Mentidero - Teatro Falla - Alameda,Cadiz,"199,000","199,000","['70 m² built', '1 bedroom', '1 bathroom', 'Second hand/good condition', 'Fitted wardrobes', '3rd floor exterior', 'no lift']",['en trámite'],[],Professional advertiser
96545422,Flat / apartment for sale in Mentidero - Teatro Falla - Alameda,Cadiz,"95,000","95,000","['54 m² built', '2 bedrooms', '1 bathroom', 'Terrace', 'Second hand/needs renovating', 'No heating', '3rd floor exterior', 'no lift']",['en trámite'],[],Professional advertiser
95431934,Flat / apartment for sale in La Caleta - La Viña,Cadiz,"184,000","184,000","['81 m² built, 75 m² floor area', '3 bedrooms', '1 bathroom', 'Balcony', 'Second hand/good condition', 'No heating', '3rd floor exterior', 'no lift']",['en trámite'],[],Professional advertiser
95517607,Flat / apartment for sale in La Paz - Segunda Aguada - Loreto,Cadiz,"360,000","360,000","['120 m² built, 115 m² floor area', '4 bedrooms', '2 bathrooms', 'Parking space included in the price', 'Second hand/good condition', 'No heating', '1st floor interior', 'with lift']","['Air conditioning', 'en trámite']",[],Professional advertiser
95547272,Flat / apartment for sale in Centro Histórico - Plaza España,Cadiz,"285,000","285,000","['108 m² built, 100 m² floor area', '3 bedrooms', '2 bathrooms', 'Second hand/good condition', 'Built in 1888', 'No heating', '3rd floor', 'with lift']","['Air conditioning', 'no indicado']",[],Professional advertiser
95434992,Flat / apartment for sale in Mentidero - Teatro Falla - Alameda,Cadiz,"150,000","150,000","['93 m² built', '3 bedrooms', '1 bathroom', 'Balcony', 'Second hand/good condition', 'Fitted wardrobes', 'No heating', '3rd floor exterior', 'no lift']","['Air conditioning', 'en trámite']",[],Professional advertiser
95430124,Studio flat for sale in Gloria,"Ayuntamiento - Catedral, Cadiz","90,750","90,750","['30 m² built', 'No bedroom', '1 bathroom', 'Terrace', 'Second hand/good condition', 'Built in 2021', '3rd floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
95314707,Flat / apartment for sale in Mentidero - Teatro Falla - Alameda,Cadiz,"180,000","180,000","['88 m² built, 80 m² floor area', '2 bedrooms', '1 bathroom', 'Terrace', 'Balcony', 'Second hand/good condition', 'Fitted wardrobes', 'No heating', '3rd floor exterior', 'no lift']",['en trámite'],[],Professional advertiser
95287988,Duplex for sale in Cortadura - Zona Franca,Cadiz,"245,000","245,000","['147 m² built, 142 m² floor area', '4 bedrooms', '3 bathrooms', 'Terrace', 'Second hand/good condition', 'Fitted wardrobes', 'Storeroom', 'Built in 1979', 'No heating', 'Access adapted for persons with reduced mobility', 'Home suitable for persons with reduced mobility', '4th floor exterior', 'with lift']","['Air conditioning', 'en trámite']",[],Professional advertiser
95259604,Flat / apartment for sale in Mentidero - Teatro Falla - Alameda,Cadiz,"330,176","330,176","['99 m² built, 98 m² floor area', '3 bedrooms', '2 bathrooms', 'Terrace', 'Second hand/good condition', 'Fitted wardrobes', 'Built in 2021', 'Access adapted for persons with reduced mobility', 'Home suitable for persons with reduced mobility', '1st floor exterior', 'with lift']","['Air conditioning', 'en trámite']",[],Professional advertiser
95259193,Flat / apartment for sale in Mentidero - Teatro Falla - Alameda,Cadiz,"352,485","352,485","['102 m² built, 100 m² floor area', '3 bedrooms', '2 bathrooms', 'Terrace', 'Second hand/good condition', 'Fitted wardrobes', 'Built in 2021', 'Access adapted for persons with reduced mobility', 'Home suitable for persons with reduced mobility', '1st floor exterior', 'with lift']","['Air conditioning', 'en trámite']",[],Professional advertiser
95258458,Flat / apartment for sale in Mentidero - Teatro Falla - Alameda,Cadiz,"283,393","283,393","['89 m² built, 88 m² floor area', '3 bedrooms', '2 bathrooms', 'Second hand/good condition', 'Fitted wardrobes', 'Built in 2021', 'Access adapted for persons with reduced mobility', 'Home suitable for persons with reduced mobility', '2nd floor interior', 'with lift']","['Air conditioning', 'en trámite']",[],Professional advertiser
